Meaning (on row),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keywords in English (on row),,,,Method of Focal Objects,Morphological Analysis Method,Check-listing Method,Brainstorming,Synectics (method of using analogies),Methods of activating creativitive thinking,combine non-TRIZ techniques,,(11) separation principles,(40) basic creativity principles,segmentation,taking out,local quality,asymmetry,merging,universality,nesting,anti-weight,preliminary anti-action,preliminary action,beforehand cushioning,equipotentiality,reversing,spheroidality,dynamics,partial or excessive actions,change to another dimension,mechanical vibration,periodic action,continuity of useful actions,skipping,blessing in disguise,feedback,intermediary,self-service,copying,cheap short-living objects,mechanics substitution,pneumatics and hydraulics,flexible shells and thin films,porous materials,color change,homogeneity,discarding and recovering,parameter changes,phase transitions,thermal expansion,strong oxidants,inert atmosphere,composite materials,combine TRIZ techniques
data_individual/data_tudo/td0018.txt,"nghề tự do
","173
",,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
data_individual/data_tudo/td0008.txt,"tu sĩ
","44
",,,,,,,1,1,,,1,1,1,,,1,1,,,1,,1,1,,1,1,,,,,1,,1,1,,1,,,,,,,,,,,,,,,,1
data_individual/data_tudo/td0007.txt,"tu sĩ
","31
",,,,,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tudo/td0001.txt,"công nhân, nhà máy Ba Son
","2
",,,,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tudo/td0021.txt,"tự do
","368
",,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tudo/td0023.txt,"thầy thuốc đông y
","375
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_tudo/td0003.txt,"y sỹ đa khoa
","7
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_tudo/td0004.txt,"thợ may
","18
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tudo/td0013.txt,"công nhân nguội
","70
",,,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tudo/td0002.txt,"quản đốc phân xưởng
","4
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_tudo/td0019.txt,"buôn bán
","199
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_tudo/td0015.txt,"thợ may
","131
",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tudo/td0010.txt,"công nhân
","59
",,,,,,,,,,,1,,,,,1,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tudo/td0011.txt,"kinh doanh
","68
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_tudo/td0027.txt,"nghề tự do
","419
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_tudo/td0017.txt,"kinh doanh
","140
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
data_individual/data_tudo/td0009.txt,"đại học, buôn bán
","46
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tudo/td0006.txt,"chủ cơ sở sản xuất đồ chơi, học cụ
","28
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
data_individual/data_tudo/td0012.txt,"doanh nhân
","68
",,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tudo/td0005.txt,"thợ mộc
","27
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_tudo/td0024.txt,"nghề tự do
","381
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_tudo/td0020.txt,"tiểu thương
","282
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tudo/td0028.txt,"kỹ sư điện tử, kinh doanh
","448
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tudo/td0000.txt,"VII.3.3. THU HOẠCH CỦA CÔNG NHÂN, TIỂU THƯƠNG, LÀM NGHỀ TỰ
","VII.3.3. THU HOẠCH CỦA CÔNG NHÂN, TIỂU THƯƠNG, LÀM NGHỀ TỰ
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_tudo/td0026.txt,"biên tập văn học
","387
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_tudo/td0014.txt,"tiểu thương chợ An Đông
","83
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0014.txt,"kế toán trưởng, Công ty EMECO
","126
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0044.txt,"công ty may xuất khẩu Bình Dương
","299
",,,,,,,,,,,1,1,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0023.txt,"khai thác viên, xưởng công nghệ điện tử viễn thông FTC
","153
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0042.txt,"giám đốc tài chính, nhân sự công ty
","290
",,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0031.txt,"Reception công ty du lịch
","200
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0061.txt,"cán bộ Tập đoàn chăn nuôi CP Việt Nam
","461
",,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0065.txt,"cán bộ Tập đoàn chăn nuôi CP Việt Nam
","461
",,,1,,,,1,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0017.txt,"phòng tổ chức hành chính, Công ty Savimex
","135
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_tunhan/tn0011.txt,"kỹ sư, Phòng kỹ thuật, Công ty Fujitsu
","123
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0059.txt,"cán bộ Tập đoàn chăn nuôi CP Việt Nam
","461
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_tunhan/tn0004.txt,"cán bộ phụ trách kế hoạch kinh doanh công ty
","70
",,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0055.txt,"cán bộ Tập đoàn chăn nuôi CP Việt Nam
","461
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0047.txt,"nhân viên ngân hàng
","344
",,,,,,,1,1,,1,1,1,,,,,,,,1,1,1,,,,1,,,,1,,1,1,,,,,,,,,,1,,,,,,,,,1
data_individual/data_tunhan/tn0000.txt,"VII.3.6. THU HOẠCH CỦA CÁC NHÂN VIÊN, CÁN BỘ QUẢN LÝ LÀM VIỆC
","VII.3.6. THU HOẠCH CỦA CÁC NHÂN VIÊN, CÁN BỘ QUẢN LÝ LÀM VIỆC
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_tunhan/tn0057.txt,"cán bộ Tập đoàn chăn nuôi CP Việt Nam
","461
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_tunhan/tn0036.txt,"cán bộ quản lý, Tổng công ty Viglacera
","215
",,,,,,,,,,,1,1,1,1,,1,1,,1,,,1,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0018.txt,"trợ lý trưởng phòng bán hàng, công ty Unilever Việt Nam
","137
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0037.txt,"kế toán trưởng công ty
","224
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_tunhan/tn0053.txt,"cán bộ nhà máy thức ăn gia súc Bình Định thuộc Tập đoàn chăn nuôi CP Việt Nam
","461
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0041.txt,"kỹ sư, công ty
","279
",,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0007.txt,"nhân viên công ty Fujitsu
","104
",,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_tunhan/tn0006.txt,"giám đốc, Xí nghiệp bao bì An Giang
","101
",,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0005.txt,"cán bộ quản lý, công ty SONY
","123
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0062.txt,"cán bộ quản lý, Trung tâm công nghệ thông tin, Tập đoàn chăn nuôi CP Việt Nam
","461
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_tunhan/tn0025.txt,"cán bộ Ngân hàng xuất nhập khẩu Việt Nam
","175
",,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0008.txt,"cán bộ, Nhà máy Satimex
","113
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0052.txt,"cán bộ công ty
","433
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_tunhan/tn0002.txt,"phó giám đốc công ty nước giải khát
","59
",,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0027.txt,"cán bộ phòng kế hoạch, Công ty cổ phần đầu tư xây dựng Bình Chánh
","179
",,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0048.txt,"cán bộ quản lý công ty Masan
","350
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0003.txt,"cử nhân khoa học ứng dụng, phó giám đốc xí nghiệp
","60
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0069.txt,"cán bộ quản lý công ty PNJ
","475
",,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0060.txt,"cán bộ Tập đoàn chăn nuôi CP Việt Nam
","461
",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0051.txt,"cán bộ quản lý công ty
","401
",,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0012.txt,"tiến sỹ, phó tổng giám đốc Công ty EMECO
","126
",,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0024.txt,"cán bộ marketing
","156
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_tunhan/tn0030.txt,"nhân viên công ty trách nhiệm hữu hạn Vạn Phát Hưng
","198
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0056.txt,"cán bộ Tập đoàn chăn nuôi CP Việt Nam
","461
",,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_tunhan/tn0063.txt,"cán bộ Tập đoàn chăn nuôi CP Việt Nam
","461
",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_tunhan/tn0034.txt,"phó phòng kỹ thuật, Xí nghiệp may xuất khẩu 3/2
","202
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_tunhan/tn0066.txt,"cán bộ công nghệ thông tin của công ty
","474
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_tunhan/tn0029.txt,"kỹ sư chăn nuôi thú y, công ty LD Biopharmachemie
","196
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_tunhan/tn0032.txt,"Xí nghiệp may xuất khẩu 3/2
","202
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0046.txt,"cán bộ công ty
","320
",,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0038.txt,"cán bộ quản lý công nghệ thông tin của công ty
","236
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_tunhan/tn0026.txt,"kế toán công ty xuất nhập khẩu
","175
",,,,,,,1,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0039.txt,"cán bộ quản lý
","260
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0040.txt,"quản lý phòng kế toán tài chính công ty
","274
",,,,,,,1,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0058.txt,"cán bộ Tập đoàn chăn nuôi CP Việt Nam
","461
",,1,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0016.txt,"phòng tổ chức nhân sự, công ty Savimex
","135
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0009.txt,"trưởng phòng đào tạo, Công ty Unilever Việt Nam
","120
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_tunhan/tn0013.txt,"chánh văn phòng, Công ty EMECO
","126
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0028.txt,"Công ty phát hành báo chí
","192
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_tunhan/tn0022.txt,"cán bộ Công ty Vietnam Air Caterers
","146
",,1,1,,1,1,1,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
data_individual/data_tunhan/tn0001.txt,"kỹ sư thủy sản, giám đốc công ty
","53
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_tunhan/tn0033.txt,"nhân viên công ty
","200
",,1,1,,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0070.txt,"cán bộ quản lý Công ty PNJ
","475
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0035.txt,"cán bộ công ty
","209
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_tunhan/tn0043.txt,"cán bộ quản lý công ty
","290
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_tunhan/tn0054.txt,"cán bộ Tập đoàn chăn nuôi CP Việt Nam
","461
",,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0045.txt,"kỹ sư CNTT của công ty
","299
",,1,1,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0071.txt,"marketing công ty
","480
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_tunhan/tn0015.txt,"kiến trúc sư, Công ty tư vấn xây dựng tổng hợp
","129
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_tunhan/tn0050.txt,"cán bộ quản lý công ty cổ phần kỹ thuật Toàn Thắng
","380
",,,,,,,1,1,,,1,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0020.txt,"bếp trưởng, công ty Vietnam Air Caterers
","146
",,,,,1,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0019.txt,"trưởng điều hành, công ty Vietnam Air Caterers
","146
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0068.txt,"cán bộ quản lý công ty PNJ
","475
",,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_tunhan/tn0072.txt,"kỹ sư Công ty Kimberly-Clark Việt Nam
","453
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_tunhan/tn0021.txt,"cán bộ, công ty Vietnam Air Caterers
","146
",,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0049.txt,"cán bộ công ty
","377
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_tunhan/tn0067.txt,"cán bộ quản lý, Công ty vàng bạc đá quý Phú Nhuận PNJ
","475
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0064.txt,"cán bộ Tập đoàn chăn nuôi CP Việt Nam
","461
",,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_tunhan/tn0010.txt,"thư ký văn phòng, Công ty TNT Express Worldwide
","120
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum per keywords,,,0,14,22,9,18,8,70,92,0,9,207,28,15,8,0,51,11,9,3,22,21,33,4,10,5,22,3,8,0,6,24,4,14,10,1,8,1,1,0,0,1,0,6,2,0,0,0,0,0,0,0,231
